siteReportId;conversationId;questionnaireId;dateReceived;dateReceivedDisplay;clientId;locationId;clientName;questionAnswer1;questionAnswer2;questionAnswer3;questionAnswer4;nPSQuestionAnswer;feedbackQuestionAnswer;submitForReward;madeOrIntentToMakePurchase;RegionID;Industry
55686;74061;36;2023-01-17 15:36:04.9800000 -05:00;2023/01/17 15:36;156;281;Client 3;10;2;2;10;10;Neutral ;VERDADERO;1;3;5
55685;74060;36;2023-01-17 15:34:13.7733333 -05:00;2023/01/17 15:34;156;72;Client 3;8;2;3;10;10;Neutral ;VERDADERO;1;6;5
55684;74059;36;2023-01-17 15:27:25.8733333 -05:00;2023/01/17 15:27;156;71;Client 3;8;2;3;8;8;Neutral ;VERDADERO;1;5;5
55683;74058;30;2023-01-17 14:25:23.0800000 -06:00;2023/01/17 14:25;575;356;Client 5;10;8;7;8;9;Neutral ;VERDADERO;1;10;5
55682;74057;36;2023-01-17 15:23:48.4900000 -05:00;2023/01/17 15:23;156;78;Client 3;7;2;2;7;10;Neutral ;FALSO;1;6;5
55681;74056;36;2023-01-17 15:17:07.3966667 -05:00;2023/01/17 15:17;156;72;Client 3;5;2;3;8;9;Neutral ;VERDADERO;1;6;5
55680;74055;36;2023-01-17 15:14:33.8366667 -05:00;2023/01/17 15:14;156;70;Client 3;7;2;3;8;9;The tm organizing the shelves was doing an amazing job as well as Cody at checkout.;VERDADERO;1;5;5
55679;74054;30;2023-01-17 14:10:26.3666667 -06:00;2023/01/17 14:10;575;356;Client 5;10;8;10;9;10;Lauren;VERDADERO;1;10;5
55678;74053;36;2023-01-17 15:10:24.6166667 -05:00;2023/01/17 15:10;156;81;Client 3;10;2;2;9;8;Lots of times the prices are Ridiculously high;VERDADERO;1;3;5
55743;74145;36;2023-01-17 15:00:00.0000000 -05:00;2023/01/17 15:00;156;280;Client 3;10;3;2;8;10;"I'd like to emphasize how I admire the hard work and dedication Michael has. 
He is an excellent employee.";VERDADERO;1;6;5
55738;74135;30;2023-01-17 14:00:00.0000000 -06:00;2023/01/17 14:00;575;349;Client 5;10;10;10;10;10;I'm a repeat shopper because the store is clean and staff very helpful and friendly. Vanessa Villarreal is always so helpful and kind.;VERDADERO;1;9;5
55677;74052;36;2023-01-17 13:53:18.6200000 -06:00;2023/01/17 13:53;156;251;Client 3;10;1;2;7;7;Neutral ;VERDADERO;1;4;5
55676;74051;30;2023-01-17 13:39:34.4033333 -06:00;2023/01/17 13:39;575;356;Client 5;10;8;8;9;10;Neutral ;VERDADERO;0;10;5
55675;74049;24;2023-01-17 14:29:32.6333333 -05:00;2023/01/17 14:29;156;265;Client 3;9;10;3;7;8;No one explained how my donation would make an impact, but I was thanked for my donation. When I pulled through the drive through the attendants had their backs to me creating a safety concern as I was driving away.;VERDADERO;0;5;5
55674;74048;30;2023-01-17 13:16:22.7833333 -06:00;2023/01/17 13:16;575;338;Client 5;10;8;8;9;9;Neutral ;VERDADERO;1;9;5
55673;74047;36;2023-01-17 14:15:10.0433333 -05:00;2023/01/17 14:15;156;282;Client 3;8;1;2;10;10;Neutral ;FALSO;1;3;5
55671;74044;39;2023-01-17 14:04:35.7800000 -05:00;2023/01/17 14:04;567;1135;Client 7;10;8;7;8;8;Overall good store, and more organized than it was in the past.;VERDADERO;1;13;5
55742;74143;36;2023-01-17 14:00:00.0000000 -05:00;2023/01/17 14:00;156;281;Client 3;4;1;2;8;8;Neutral ;VERDADERO;1;3;5
55858;74298;36;2023-01-17 14:00:00.0000000 -05:00;2023/01/17 14:00;156;78;Client 3;9;1;2;8;9;Neutral ;VERDADERO;1;6;5
55670;74043;24;2023-01-17 13:59:37.9466667 -05:00;2023/01/17 13:59;156;74;Client 3;10;10;10;10;10;Neutral ;VERDADERO;0;5;5
55669;74042;36;2023-01-17 13:58:18.1766667 -05:00;2023/01/17 13:58;156;271;Client 3;8;3;3;8;10;Neutral ;FALSO;0;3;5
55668;74041;36;2023-01-17 13:56:40.3500000 -05:00;2023/01/17 13:56 (3);156;271;Client 3;4;2;3;8;8;Neutral ;FALSO;1;3;5
55667;74040;36;2023-01-17 13:56:30.1800000 -05:00;2023/01/17 13:56 (2);156;271;Client 3;10;2;3;10;10;Neutral ;FALSO;1;3;5
55666;74039;36;2023-01-17 13:56:00.7533333 -05:00;2023/01/17 13:56 (1);156;271;Client 3;8;2;2;8;10;Neutral ;FALSO;1;3;5
55665;74038;30;2023-01-17 12:53:12.4266667 -06:00;2023/01/17 12:53;575;339;Client 5;10;5;7;7;6;Jeff at this location was fantastic;VERDADERO;1;9;5
55664;74037;36;2023-01-17 13:53:06.3233333 -05:00;2023/01/17 13:53;156;76;Client 3;7;2;3;8;10;Neutral ;VERDADERO;1;6;5
55663;74035;36;2023-01-17 13:40:34.2300000 -05:00;2023/01/17 13:40;156;70;Client 3;10;2;10;10;10;I'm shopping on a donation voucher that I received from a women's shelter due to the vouchers being converted to electronic it reduce the amount of items I'm allowed to get and I don't think that's fair. I need all the help I can get right now.;VERDADERO;1;5;5
55672;74045;36;2023-01-17 13:40:21.8033333 -05:00;2023/01/17 13:40;156;282;Client 3;8;2;2;8;9;Extremely impressed by the cleanliness & organization of your store compared to other client stores I have frequented. I'll  be back, keep up the good work.;FALSO;1;3;5
55662;74034;30;2023-01-17 12:38:36.4600000 -06:00;2023/01/17 12:38;575;359;Client 5;10;10;10;10;10;Barbara;VERDADERO;1;9;5
55661;74033;36;2023-01-17 13:36:50.4166667 -05:00;2023/01/17 13:36;156;70;Client 3;9;2;3;10;10;Neutral ;FALSO;1;5;5
55660;74032;36;2023-01-17 13:33:27.5766667 -05:00;2023/01/17 13:33;156;71;Client 3;7;1;2;5;5;Neutral ;VERDADERO;1;5;5
55659;74031;30;2023-01-17 12:32:23.1600000 -06:00;2023/01/17 12:32;575;339;Client 5;10;10;10;10;10;Jeff was extremely friendly and helpful;VERDADERO;1;9;5
55658;74030;24;2023-01-17 13:25:22.0466667 -05:00;2023/01/17 13:25;156;71;Client 3;4;1;3;8;8;Question 2 is an 8;VERDADERO;1;5;5
55657;74029;30;2023-01-17 12:20:02.1400000 -06:00;2023/01/17 12:20;575;359;Client 5;10;10;10;10;10;Maria s;VERDADERO;1;9;5
55656;74028;30;2023-01-17 12:07:24.4933333 -06:00;2023/01/17 12:07;575;356;Client 5;10;8;8;9;10;Neutral ;VERDADERO;1;10;5
55655;74027;36;2023-01-17 13:03:59.0800000 -05:00;2023/01/17 13:03;156;260;Client 3;8;2;3;8;9;Neutral ;VERDADERO;1;4;5
55741;74142;36;2023-01-17 13:00:00.0000000 -05:00;2023/01/17 13:00;156;81;Client 3;8;1;3;7;5;Prices were to high for simple common item. Large items also over priced for used stuff;FALSO;1;3;5
55863;74303;36;2023-01-17 13:00:00.0000000 -05:00;2023/01/17 13:00;156;72;Client 3;8;1;1;8;8;Clean organized store friendly helpful staff;FALSO;1;6;5
55718;74107;39;2023-01-17 13:00:00.0000000 -05:00;2023/01/17 13:00;567;1148;Client 7;12;8;8;8;10;Need more cashiers employees at the front today Angel did a wonderful job today taking care slot of customers by herself;FALSO;1;13;5
55654;74025;30;2023-01-17 11:55:11.0200000 -06:00;2023/01/17 11:55;575;341;Client 5;10;10;10;10;10;Yesenia was super friendly;VERDADERO;1;9;5
55653;74024;36;2023-01-17 12:55:10.5233333 -05:00;2023/01/17 12:55;156;75;Client 3;10;2;2;10;10;Neutral ;VERDADERO;1;4;5
55652;74022;30;2023-01-17 11:50:35.5500000 -06:00;2023/01/17 11:50;575;359;Client 5;10;8;9;9;10;Neutral ;VERDADERO;1;9;5
55651;74021;24;2023-01-17 12:49:55.2100000 -05:00;2023/01/17 12:49;156;75;Client 3;10;10;10;10;10;Neutral ;VERDADERO;1;4;5
55650;74020;36;2023-01-17 12:45:25.9700000 -05:00;2023/01/17 12:45;156;267;Client 3;8;2;2;9;9;Everyone who works there is very friendly. Keep up the good work.;FALSO;1;5;5
55649;74019;39;2023-01-17 12:43:27.6233333 -05:00;2023/01/17 12:43;567;1135;Client 7;10;10;10;3;7;Neutral ;VERDADERO;1;13;5
55648;74018;36;2023-01-17 12:40:30.3900000 -05:00;2023/01/17 12:40;156;292;Client 3;7;2;2;9;9;Neutral ;VERDADERO;1;3;5
55647;74016;30;2023-01-17 11:35:27.6333333 -06:00;2023/01/17 11:35;575;359;Client 5;10;10;10;10;10;Always good service from Yadira;VERDADERO;1;9;5
55646;74015;30;2023-01-17 11:23:52.9200000 -06:00;2023/01/17 11:23;575;338;Client 5;10;10;10;10;10;Manager, Donald Smith was very friendly and helpful. Best client I've seen in awhile! Great job!!!;VERDADERO;0;9;5
55645;74014;30;2023-01-17 11:23:47.8500000 -06:00;2023/01/17 11:23;575;359;Client 5;10;10;10;10;10;A great help from cashier Yadira very nice person;VERDADERO;0;9;5
55644;74013;30;2023-01-17 11:22:15.9400000 -06:00;2023/01/17 11:22;575;359;Client 5;10;10;3;8;3;clean bathrooms;VERDADERO;1;9;5
55643;74012;30;2023-01-17 11:16:50.3966667 -06:00;2023/01/17 11:16;575;359;Client 5;10;10;10;10;10;Always good service  from Yadira;VERDADERO;1;9;5
55642;74011;39;2023-01-17 12:14:32.3600000 -05:00;2023/01/17 12:14;567;1137;Client 7;9;7;6;8;9;Some items are priced at & above retail.;VERDADERO;1;14;5
55641;74010;39;2023-01-17 12:14:13.9966667 -05:00;2023/01/17 12:14;567;1143;Client 7;6;8;8;7;9;Neutral ;VERDADERO;1;15;5
55640;74009;30;2023-01-17 11:04:12.1000000 -06:00;2023/01/17 11:04;575;359;Client 5;10;10;10;10;10;Yadira give me excellent customer service always;VERDADERO;1;9;5
55744;74146;30;2023-01-17 11:00:00.0000000 -06:00;2023/01/17 11:00;575;347;Client 5;8;8;7;8;8;Neutral ;VERDADERO;1;8;5
55755;74162;30;2023-01-17 11:00:00.0000000 -06:00;2023/01/17 11:00;575;339;Client 5;10;10;10;10;10;Please continue the good work. This place looks better than it ever has.;VERDADERO;1;9;5
55734;74128;24;2023-01-17 12:00:00.0000000 -05:00;2023/01/17 12:00;156;76;Client 3;10;10;10;10;10;Norman was very friendly.  He helped me unload my donation box from my car.;VERDADERO;1;6;5
55639;74007;36;2023-01-17 11:57:16.2900000 -05:00;2023/01/17 11:57;156;288;Client 3;1;1;3;5;4;Neutral ;FALSO;1;3;5
55638;74006;30;2023-01-17 10:42:26.6866667 -06:00;2023/01/17 10:42;575;351;Client 5;10;6;6;7;8;Neutral ;VERDADERO;1;10;5
55637;74005;39;2023-01-17 11:36:26.4233333 -05:00;2023/01/17 11:36;567;1136;Client 7;10;8;8;10;10;Neutral ;VERDADERO;0;15;5
55636;74004;41;2023-01-17 11:26:10.9066667 -05:00;2023/01/17 11:26;579;1183;Client 9;10;10;10;9;9;Marlo Saunders is great and very helpful , knowledgeable and caring .;VERDADERO;1;19;5
55635;74003;36;2023-01-17 11:22:14.4833333 -05:00;2023/01/17 11:22;156;72;Client 3;7;2;2;8;10;Neutral ;VERDADERO;1;6;5
55634;74002;36;2023-01-17 11:19:50.7466667 -05:00;2023/01/17 11:19;156;72;Client 3;9;1;2;9;8;Neutral ;VERDADERO;1;6;5
55633;74000;36;2023-01-17 11:10:03.7666667 -05:00;2023/01/17 11:10;156;281;Client 3;3;2;3;8;8;Neutral ;FALSO;1;3;5
55632;73999;24;2023-01-17 11:09:58.1566667 -05:00;2023/01/17 11:09;156;72;Client 3;10;10;10;10;8;Neutral ;VERDADERO;1;6;5
55631;73998;30;2023-01-17 10:08:04.7133333 -06:00;2023/01/17 10:08;575;339;Client 5;9;8;9;9;10;Neutral ;VERDADERO;1;9;5
55630;73997;36;2023-01-17 11:07:42.9633333 -05:00;2023/01/17 11:07;156;80;Client 3;8;1;1;4;5;The price for merchandise is not easy to locate. Charts should be posted through out the store so you know the price  of the colors.;FALSO;1;3;5
55629;73996;39;2023-01-17 11:07:10.5266667 -05:00;2023/01/17 11:07;567;1167;Client 7;9;7;8;10;10;Neutral ;VERDADERO;1;14;5
55878;74326;30;2023-01-17 10:00:00.0000000 -06:00;2023/01/17 10:00;575;350;Client 5;10;7;8;8;8;I helpful for my and my family;VERDADERO;1;10;5
55855;74295;36;2023-01-17 11:00:00.0000000 -05:00;2023/01/17 11:00;156;83;Client 3;8;1;3;9;10;Neutral ;VERDADERO;1;6;5
55626;73992;24;2023-01-17 10:36:39.1366667 -05:00;2023/01/17 10:36;156;287;Client 3;10;10;10;10;10;Neutral ;VERDADERO;0;4;5
55625;73991;36;2023-01-17 10:27:03.8333333 -05:00;2023/01/17 10:27;156;75;Client 3;6;2;2;10;10;Neutral ;VERDADERO;1;4;5
55624;73990;36;2023-01-17 10:21:37.7133333 -05:00;2023/01/17 10:21;156;80;Client 3;9;1;3;9;10;The gentleman who was running the register was super polite and happy to be working there. That's always a great thing to see when someone enjoys their job.;VERDADERO;1;3;5
55623;73987;24;2023-01-17 10:10:43.9300000 -05:00;2023/01/17 10:10;156;282;Client 3;10;10;10;10;10;Neutral ;VERDADERO;0;3;5
55622;73986;36;2023-01-17 10:09:25.4066667 -05:00;2023/01/17 10:09;156;292;Client 3;10;3;3;10;10;Neutral ;VERDADERO;1;3;5
55621;73985;36;2023-01-17 09:07:22.2133333 -06:00;2023/01/17 09:07;156;252;Client 3;10;3;3;7;10;Neutral ;FALSO;1;4;5
55740;74140;39;2023-01-17 10:00:00.0000000 -05:00;2023/01/17 10:00;567;1135;Client 7;8;7;5;8;10;Neutral ;VERDADERO;1;13;5
55619;73979;39;2023-01-17 09:41:23.3366667 -05:00;2023/01/17 09:41;567;1151;Client 7;9;6;7;7;8;Neutral ;VERDADERO;1;14;5
55610;73967;36;2023-01-16 21:53:44.3266667 -06:00;2023/01/16 21:53;156;68;Client 3;10;2;2;8;9;Sometimes things are a bit over priced..which is the main reason I shop at client...;VERDADERO;1;4;5
55604;73959;24;2023-01-16 20:59:54.4033333 -06:00;2023/01/16 20:59;156;68;Client 3;8;8;8;8;8;Neutral ;FALSO;1;4;5
55603;73958;36;2023-01-16 21:54:29.0666667 -05:00;2023/01/16 21:54;156;81;Client 3;8;2;2;8;10;Neutral ;VERDADERO;1;3;5
55602;73957;36;2023-01-16 21:50:59.0000000 -05:00;2023/01/16 21:50;156;288;Client 3;8;2;2;7;8;Neutral ;VERDADERO;1;3;5
55601;73956;36;2023-01-16 21:43:46.5500000 -05:00;2023/01/16 21:43;156;275;Client 3;7;1;2;5;6;Neutral ;FALSO;1;6;5
55600;73954;36;2023-01-16 21:31:51.3566667 -05:00;2023/01/16 21:31 (2);156;270;Client 3;5;2;3;10;8;Neutral ;FALSO;1;3;5
55599;73953;36;2023-01-16 21:31:09.3300000 -05:00;2023/01/16 21:31 (1);156;270;Client 3;8;1;3;10;9;Neutral ;FALSO;1;3;5
55598;73952;36;2023-01-16 20:31:07.0933333 -06:00;2023/01/16 20:31;156;251;Client 3;8;2;3;10;10;Neutral ;VERDADERO;1;4;5
55595;73949;36;2023-01-16 21:09:51.5066667 -05:00;2023/01/16 21:09;156;80;Client 3;10;2;2;8;10;Neutral ;VERDADERO;1;3;5
